LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,HUR,TOT,PC_LF,A,1967,1.875,
AUS,HUR,TOT,PC_LF,A,1968,1.85,
AUS,HUR,TOT,PC_LF,A,1969,1.8,
AUS,HUR,TOT,PC_LF,A,1970,1.625,
AUS,HUR,TOT,PC_LF,A,1971,1.925,
AUS,HUR,TOT,PC_LF,A,1972,2.625,
AUS,HUR,TOT,PC_LF,A,1973,2.325,
AUS,HUR,TOT,PC_LF,A,1974,2.7,
AUS,HUR,TOT,PC_LF,A,1975,4.925,
AUS,HUR,TOT,PC_LF,A,1976,4.75,
AUS,HUR,TOT,PC_LF,A,1977,5.65,B
AUS,HUR,TOT,PC_LF,A,1978,6.442533,
AUS,HUR,TOT,PC_LF,A,1979,6.265499,
AUS,HUR,TOT,PC_LF,A,1980,6.106246,
AUS,HUR,TOT,PC_LF,A,1981,5.783571,
AUS,HUR,TOT,PC_LF,A,1982,7.156132,
AUS,HUR,TOT,PC_LF,A,1983,9.961594,
AUS,HUR,TOT,PC_LF,A,1984,8.98968,
AUS,HUR,TOT,PC_LF,A,1985,8.262986,
AUS,HUR,TOT,PC_LF,A,1986,8.081038,
AUS,HUR,TOT,PC_LF,A,1987,8.10804,
AUS,HUR,TOT,PC_LF,A,1988,7.227954,
AUS,HUR,TOT,PC_LF,A,1989,6.179825,
AUS,HUR,TOT,PC_LF,A,1990,6.923,
AUS,HUR,TOT,PC_LF,A,1991,9.576522,
AUS,HUR,TOT,PC_LF,A,1992,10.72814,
AUS,HUR,TOT,PC_LF,A,1993,10.87467,
AUS,HUR,TOT,PC_LF,A,1994,9.72219,
AUS,HUR,TOT,PC_LF,A,1995,8.472281,
AUS,HUR,TOT,PC_LF,A,1996,8.506114,
AUS,HUR,TOT,PC_LF,A,1997,8.362488,
AUS,HUR,TOT,PC_LF,A,1998,7.677429,
AUS,HUR,TOT,PC_LF,A,1999,6.873791,
AUS,HUR,TOT,PC_LF,A,2000,6.285546,
AUS,HUR,TOT,PC_LF,A,2001,6.742173,
AUS,HUR,TOT,PC_LF,A,2002,6.368911,
AUS,HUR,TOT,PC_LF,A,2003,5.92842,
AUS,HUR,TOT,PC_LF,A,2004,5.396734,
AUS,HUR,TOT,PC_LF,A,2005,5.033881,
AUS,HUR,TOT,PC_LF,A,2006,4.78524,
AUS,HUR,TOT,PC_LF,A,2007,4.379151,
AUS,HUR,TOT,PC_LF,A,2008,4.23433,
AUS,HUR,TOT,PC_LF,A,2009,5.560385,
AUS,HUR,TOT,PC_LF,A,2010,5.21334,
AUS,HUR,TOT,PC_LF,A,2011,5.081195,
AUS,HUR,TOT,PC_LF,A,2012,5.223376,
AUS,HUR,TOT,PC_LF,A,2013,5.66194,
AUS,HUR,TOT,PC_LF,A,2014,6.077244,
AUS,HUR,TOT,PC_LF,A,2015,6.056423,
AUS,HUR,TOT,PC_LF,A,2016,5.710301,
AUS,HUR,TOT,PC_LF,A,2017,5.59376,
AUS,HUR,TOT,PC_LF,A,2018,5.299855,
AUS,HUR,TOT,PC_LF,A,2019,5.158916,
AUS,HUR,TOT,PC_LF,A,2020,6.46183,
AUS,HUR,TOT,PC_LF,A,2021,5.11596,
AUT,HUR,TOT,PC_LF,A,1993,3.958333,
AUT,HUR,TOT,PC_LF,A,1994,4.241667,
AUT,HUR,TOT,PC_LF,A,1995,4.241667,
AUT,HUR,TOT,PC_LF,A,1996,4.733333,
AUT,HUR,TOT,PC_LF,A,1997,4.733333,
AUT,HUR,TOT,PC_LF,A,1998,4.725,
AUT,HUR,TOT,PC_LF,A,1999,4.15,
AUT,HUR,TOT,PC_LF,A,2000,3.933333,
AUT,HUR,TOT,PC_LF,A,2001,3.983333,
AUT,HUR,TOT,PC_LF,A,2002,4.383333,
AUT,HUR,TOT,PC_LF,A,2003,4.758333,B
AUT,HUR,TOT,PC_LF,A,2004,5.891667,
AUT,HUR,TOT,PC_LF,A,2005,6.033333,
AUT,HUR,TOT,PC_LF,A,2006,5.641667,
AUT,HUR,TOT,PC_LF,A,2007,5.216667,
AUT,HUR,TOT,PC_LF,A,2008,4.441667,
AUT,HUR,TOT,PC_LF,A,2009,5.666667,
AUT,HUR,TOT,PC_LF,A,2010,5.191667,
AUT,HUR,TOT,PC_LF,A,2011,4.9,
AUT,HUR,TOT,PC_LF,A,2012,5.191667,
AUT,HUR,TOT,PC_LF,A,2013,5.725,
AUT,HUR,TOT,PC_LF,A,2014,6.033333,
AUT,HUR,TOT,PC_LF,A,2015,6.15,
AUT,HUR,TOT,PC_LF,A,2016,6.45,
AUT,HUR,TOT,PC_LF,A,2017,5.925,
AUT,HUR,TOT,PC_LF,A,2018,5.208333,
AUT,HUR,TOT,PC_LF,A,2019,4.841667,
AUT,HUR,TOT,PC_LF,A,2020,6.025,
AUT,HUR,TOT,PC_LF,A,2021,6.2,
BEL,HUR,TOT,PC_LF,A,1983,10.74167,
BEL,HUR,TOT,PC_LF,A,1984,10.8,
BEL,HUR,TOT,PC_LF,A,1985,10.10833,
BEL,HUR,TOT,PC_LF,A,1986,10.03333,
BEL,HUR,TOT,PC_LF,A,1987,9.8,
BEL,HUR,TOT,PC_LF,A,1988,8.8,
BEL,HUR,TOT,PC_LF,A,1989,7.383333,
BEL,HUR,TOT,PC_LF,A,1990,6.55,
BEL,HUR,TOT,PC_LF,A,1991,6.441667,
BEL,HUR,TOT,PC_LF,A,1992,7.091667,
BEL,HUR,TOT,PC_LF,A,1993,8.625,
BEL,HUR,TOT,PC_LF,A,1994,9.75,
BEL,HUR,TOT,PC_LF,A,1995,9.675,
BEL,HUR,TOT,PC_LF,A,1996,9.541667,
BEL,HUR,TOT,PC_LF,A,1997,9.216666,
BEL,HUR,TOT,PC_LF,A,1998,9.341666,
BEL,HUR,TOT,PC_LF,A,1999,8.4,
BEL,HUR,TOT,PC_LF,A,2000,6.875,
BEL,HUR,TOT,PC_LF,A,2001,6.591667,
BEL,HUR,TOT,PC_LF,A,2002,7.525,
BEL,HUR,TOT,PC_LF,A,2003,8.175,
BEL,HUR,TOT,PC_LF,A,2004,8.391666,
BEL,HUR,TOT,PC_LF,A,2005,8.433333,
BEL,HUR,TOT,PC_LF,A,2006,8.25,
BEL,HUR,TOT,PC_LF,A,2007,7.483333,
BEL,HUR,TOT,PC_LF,A,2008,6.975,B
BEL,HUR,TOT,PC_LF,A,2009,7.991667,
BEL,HUR,TOT,PC_LF,A,2010,8.375,
BEL,HUR,TOT,PC_LF,A,2011,7.216667,
BEL,HUR,TOT,PC_LF,A,2012,7.633333,
BEL,HUR,TOT,PC_LF,A,2013,8.55,
BEL,HUR,TOT,PC_LF,A,2014,8.658334,
BEL,HUR,TOT,PC_LF,A,2015,8.65,
BEL,HUR,TOT,PC_LF,A,2016,7.941667,B
BEL,HUR,TOT,PC_LF,A,2017,7.183333,
BEL,HUR,TOT,PC_LF,A,2018,6.033333,
BEL,HUR,TOT,PC_LF,A,2019,5.441667,
BEL,HUR,TOT,PC_LF,A,2020,5.758333,
BEL,HUR,TOT,PC_LF,A,2021,6.266667,
CAN,HUR,TOT,PC_LF,A,1955,4.408333,
CAN,HUR,TOT,PC_LF,A,1956,3.433333,
CAN,HUR,TOT,PC_LF,A,1957,4.65,
CAN,HUR,TOT,PC_LF,A,1958,7.066667,
CAN,HUR,TOT,PC_LF,A,1959,5.991667,
CAN,HUR,TOT,PC_LF,A,1960,6.991667,
CAN,HUR,TOT,PC_LF,A,1961,7.183333,
CAN,HUR,TOT,PC_LF,A,1962,5.958333,
CAN,HUR,TOT,PC_LF,A,1963,5.583333,
CAN,HUR,TOT,PC_LF,A,1964,4.708333,
CAN,HUR,TOT,PC_LF,A,1965,3.95,
CAN,HUR,TOT,PC_LF,A,1966,3.375,
CAN,HUR,TOT,PC_LF,A,1967,3.833333,
CAN,HUR,TOT,PC_LF,A,1968,4.525,
CAN,HUR,TOT,PC_LF,A,1969,4.425,
CAN,HUR,TOT,PC_LF,A,1970,5.675,
CAN,HUR,TOT,PC_LF,A,1971,6.2,
CAN,HUR,TOT,PC_LF,A,1972,6.233333,
CAN,HUR,TOT,PC_LF,A,1973,5.566667,
CAN,HUR,TOT,PC_LF,A,1974,5.333333,
CAN,HUR,TOT,PC_LF,A,1975,6.916667,B
CAN,HUR,TOT,PC_LF,A,1976,7.083333,
CAN,HUR,TOT,PC_LF,A,1977,8.058333,
CAN,HUR,TOT,PC_LF,A,1978,8.383333,
CAN,HUR,TOT,PC_LF,A,1979,7.55,
CAN,HUR,TOT,PC_LF,A,1980,7.55,
CAN,HUR,TOT,PC_LF,A,1981,7.633333,
CAN,HUR,TOT,PC_LF,A,1982,11.03333,
CAN,HUR,TOT,PC_LF,A,1983,12.03333,
CAN,HUR,TOT,PC_LF,A,1984,11.35,
CAN,HUR,TOT,PC_LF,A,1985,10.51667,
CAN,HUR,TOT,PC_LF,A,1986,9.6,
CAN,HUR,TOT,PC_LF,A,1987,8.833333,
CAN,HUR,TOT,PC_LF,A,1988,7.766667,
CAN,HUR,TOT,PC_LF,A,1989,7.566667,
CAN,HUR,TOT,PC_LF,A,1990,8.15,
CAN,HUR,TOT,PC_LF,A,1991,10.325,
CAN,HUR,TOT,PC_LF,A,1992,11.19167,
CAN,HUR,TOT,PC_LF,A,1993,11.4,
CAN,HUR,TOT,PC_LF,A,1994,10.41667,
CAN,HUR,TOT,PC_LF,A,1995,9.508333,
CAN,HUR,TOT,PC_LF,A,1996,9.608334,
CAN,HUR,TOT,PC_LF,A,1997,9.116667,
CAN,HUR,TOT,PC_LF,A,1998,8.283334,
CAN,HUR,TOT,PC_LF,A,1999,7.591667,
CAN,HUR,TOT,PC_LF,A,2000,6.816667,
CAN,HUR,TOT,PC_LF,A,2001,7.216667,
CAN,HUR,TOT,PC_LF,A,2002,7.675,
CAN,HUR,TOT,PC_LF,A,2003,7.575,
CAN,HUR,TOT,PC_LF,A,2004,7.191667,
CAN,HUR,TOT,PC_LF,A,2005,6.758333,
CAN,HUR,TOT,PC_LF,A,2006,6.35,
CAN,HUR,TOT,PC_LF,A,2007,6.066667,
CAN,HUR,TOT,PC_LF,A,2008,6.175,
CAN,HUR,TOT,PC_LF,A,2009,8.375,
CAN,HUR,TOT,PC_LF,A,2010,8.116667,
CAN,HUR,TOT,PC_LF,A,2011,7.558333,
CAN,HUR,TOT,PC_LF,A,2012,7.333333,
CAN,HUR,TOT,PC_LF,A,2013,7.125,
CAN,HUR,TOT,PC_LF,A,2014,6.941667,
